,ZBRA
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.4817970565453137
Growth 1yr High Est,-0.05572519083969474
Growth 1yr Consensus Est,-0.2687611236925042
Growth 2yr Low Est,0.1656784522953551
Growth 2yr High Est,0.12533061395767897
Growth 2yr Consensus Est,0.14550453312651704
Growth 5yr Low Est,0.27606761154736015
Growth 5yr High Est,0.2573083115673482
Growth 5yr Consensus Est,0.2666879615573542
Growth 5yr Actual/Est,0.2128417392404986
Growth 3yr Historic,0.1842493284634858
