,PRU
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),0.38737
Price/Cash Flow (TTM),
5yr Low,38.62
5yr High,127.14
5yr Avg Return,-0.02358333333333333
EPS Growth 5yr,0.2582199
Revenue Growth 5yr,0.037548
Dividend Growth 5yr,0.1301083
Short Int Current Month,8584620.0
Short Int Prev Month,7332338.0
Short Int Pct of Float,0.02174
Days to Cover,2.29393
Float,394.3113
Shares Outstanding,396.044
Institutions Holding Shares,1309.0
% Held by Institutions,0.653892
FCF Growth 5yr,
