,SPG
% Above Low,0.37329999999999997
% Held by Institutions,0.9656999999999999
52-Wk Range,['42.25 - 177.93']
Annual Dividend $,8.4
Annual Dividend %,0.1474
Ask,58.64
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.4
Bid,58.31
Bid Size,300.0
Closing Price,58.02
Day Change $,1.02
Day Change %,0.0179
Day High,60.5
Day Low,57.81
Dividend Pay Date,2020-02-28 00:00:00
"EPS (TTM, GAAP)",6.81
Ex-dividend,2020-02-13 00:00:00
Ex-dividend Date,02/13/20
Historical Volatility,0.7440000000000001
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,17.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.52
Prev Close,57.0
Shares Outstanding,305.6M
Short Interest,0.0548
Today's Open,58.64
Volume,8342779.0
Volume 10-day Avg,8721878.0
Volume Past Day,(Average)
