,SPG
Price/Earnings (TTM),8.51545
Price/Sales (TTM),3.08108
Price/Book (MRQ),7.16775
Price/Cash Flow (TTM),4.64921
5yr Low,42.25
5yr High,229.1
5yr Avg Return,-0.13648333333333335
EPS Growth 5yr,0.0900224
Revenue Growth 5yr,0.033931
Dividend Growth 5yr,0.1001557
Short Int Current Month,16638712.0
Short Int Prev Month,14620396.0
Short Int Pct of Float,0.054814800000000004
Days to Cover,2.56708
Float,302.8647
Shares Outstanding,305.6222
Institutions Holding Shares,1068.0
% Held by Institutions,0.9657389999999999
FCF Growth 5yr,0.08426215699859319
