,DVA
% Below High,0.1042
% Held by Institutions,0.9556999999999999
52-Wk Range,['43.40 - 90.15']
Annual Dividend $,
Annual Dividend %,
Ask,82.2
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,79.5
Bid Size,100.0
Closing Price,80.76
Day Change $,0.6
Day Change %,0.0075
Day High,81.38
Day Low,79.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.82
Ex-dividend Date,No dividend
Historical Volatility,0.418
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,9.8B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",13.76
Prev Close,80.16
Shares Outstanding,121.8M
Short Interest,0.047400000000000005
Today's Open,81.04
Volume,1247996.0
Volume 10-day Avg,1305800.0
Volume Past Day,(Average)
