,HRL
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.04678362573099415
Growth 1yr High Est,0.0625
Growth 1yr Consensus Est,0.007858187134502925
Growth 2yr Low Est,0.01035051842284651
Growth 2yr High Est,0.05264037433155078
Growth 2yr Consensus Est,0.031495446377198644
Growth 5yr Low Est,0.035859738666394525
Growth 5yr High Est,0.06031879656497263
Growth 5yr Consensus Est,0.04808926761568358
Growth 5yr Actual/Est,0.04548196026342305
Growth 3yr Historic,0.031114144171469016
