,HRL
% Below High,0.0833
% Held by Institutions,0.4531
52-Wk Range,['37.00 - 51.53']
Annual Dividend $,0.93
Annual Dividend %,0.02
Ask,47.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,-0.1
Bid,46.0
Bid Size,100.0
Closing Price,47.24
Day Change $,0.65
Day Change %,0.013999999999999999
Day High,47.39
Day Low,46.88
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",1.8
Ex-dividend,2020-04-09 00:00:00
Ex-dividend Date,04/09/20
Historical Volatility,0.292
Last (size),225.0
Last (time),6:30p ET 05/08/20
Market Cap,25.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.89
Prev Close,46.59
Shares Outstanding,537.8M
Short Interest,0.10980000000000001
Today's Open,47.08
Volume,1141541.0
Volume 10-day Avg,2840541.0
Volume Past Day,(Light)
