,HRL
Price/Earnings (TTM),25.89124
Price/Sales (TTM),2.63144
Price/Book (MRQ),4.11017
Price/Cash Flow (TTM),21.69072
5yr Low,27.62
5yr High,51.53
5yr Avg Return,0.10486666666666666
EPS Growth 5yr,0.09990220000000001
Revenue Growth 5yr,0.0038571
Dividend Growth 5yr,0.1625333
Short Int Current Month,30678658.0
Short Int Prev Month,31825750.0
Short Int Pct of Float,0.1097923
Days to Cover,12.34942
Float,279.7946
Shares Outstanding,537.7761
Institutions Holding Shares,842.0
% Held by Institutions,0.453104
FCF Growth 5yr,-0.04830841521499949
