,PNR
% Below High,0.26
% Held by Institutions,0.8867
52-Wk Range,['22.01 - 47.43']
Annual Dividend $,0.76
Annual Dividend %,0.0222
Ask,40.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,33.4
Bid Size,100.0
Closing Price,35.1
Day Change $,0.87
Day Change %,0.0254
Day High,35.38
Day Low,34.52
Dividend Pay Date,2020-08-07 00:00:00
"EPS (TTM, GAAP)",2.25
Ex-dividend,2020-07-23 00:00:00
Ex-dividend Date,07/23/20
Historical Volatility,0.454
Last (size),59.0
Last (time),6:30p ET 05/08/20
Market Cap,5.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.6
Prev Close,34.23
Shares Outstanding,165.7M
Short Interest,0.0179
Today's Open,34.68
Volume,804050.0
Volume 10-day Avg,1452331.0
Volume Past Day,(Light)
