,PNR
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.18454935622317603
Growth 1yr High Est,0.07203389830508478
Growth 1yr Consensus Est,-0.05625772895904563
Growth 2yr Low Est,-0.06859046758527215
Growth 2yr High Est,0.08937663294700882
Growth 2yr Consensus Est,0.010393082680868332
Growth 5yr Low Est,-0.11881227924718152
Growth 5yr High Est,-0.04105340929481713
Growth 5yr Consensus Est,-0.07993284427099932
Growth 5yr Actual/Est,-0.08093579439130189
Growth 3yr Historic,-0.08037791573744801
