,PNR
Price/Earnings (TTM),15.59764
Price/Sales (TTM),1.95311
Price/Book (MRQ),3.07322
Price/Cash Flow (TTM),12.61812
5yr Low,22.01
5yr High,74.84
5yr Avg Return,-0.04673333333333333
EPS Growth 5yr,0.0288816
Revenue Growth 5yr,-0.087207
Dividend Growth 5yr,-0.08126989999999999
Short Int Current Month,3000364.0
Short Int Prev Month,3007617.0
Short Int Pct of Float,0.0178885
Days to Cover,2.68247
Float,165.3287
Shares Outstanding,165.7252
Institutions Holding Shares,657.0
% Held by Institutions,0.886741
FCF Growth 5yr,-0.12061703002064576
