,ZTS
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.1120448179271708
Growth 1yr High Est,0.09890109890109877
Growth 1yr Consensus Est,-0.006571859513036016
Growth 2yr Low Est,0.037037527944931925
Growth 2yr High Est,0.12945054945054935
Growth 2yr Consensus Est,0.08324403869774064
Growth 5yr Low Est,0.1373513203050223
Growth 5yr High Est,0.1817391636141636
Growth 5yr Consensus Est,0.15954524195959296
Growth 5yr Actual/Est,0.15425714409748403
Growth 3yr Historic,0.11677649094781684
