,ZTS
% Below High,0.1421
% Held by Institutions,0.9081
52-Wk Range,['90.14 - 146.26']
Annual Dividend $,0.8
Annual Dividend %,0.0064
Ask,126.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.8
Bid,123.0
Bid Size,100.0
Closing Price,125.47
Day Change $,1.23
Day Change %,0.009899999999999999
Day High,126.36
Day Low,124.82
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",3.36
Ex-dividend,2020-04-16 00:00:00
Ex-dividend Date,04/16/20
Historical Volatility,0.381
Last (size),55.0
Last (time),6:30p ET 05/08/20
Market Cap,59.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",37.32
Prev Close,124.24
Shares Outstanding,474.9M
Short Interest,0.0097
Today's Open,125.21
Volume,1617588.0
Volume 10-day Avg,2486772.0
Volume Past Day,(Light)
