,ZTS
Price/Earnings (TTM),37.3246
Price/Sales (TTM),9.40067
Price/Book (MRQ),21.64234
Price/Cash Flow (TTM),29.28296
5yr Low,37.73
5yr High,146.26
5yr Avg Return,0.20278333333333332
EPS Growth 5yr,0.2180311
Revenue Growth 5yr,0.055209
Dividend Growth 5yr,0.1701635
Short Int Current Month,4608149.0
Short Int Prev Month,4915489.0
Short Int Pct of Float,0.009728
Days to Cover,1.98113
Float,473.753
Shares Outstanding,474.9408
Institutions Holding Shares,1545.0
% Held by Institutions,0.908115
FCF Growth 5yr,0.3201259721674725
