,IDXX
% Below High,0.036000000000000004
% Held by Institutions,0.8751000000000001
52-Wk Range,['168.65 - 298.64']
Annual Dividend $,
Annual Dividend %,
Ask,300.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.8
Bid,288.0
Bid Size,300.0
Closing Price,287.9
Day Change $,-6.36
Day Change %,-0.0216
Day High,298.64
Day Low,287.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.0
Ex-dividend Date,No dividend
Historical Volatility,0.375
Last (size),4.0
Last (time),4:15p ET 05/08/20
Market Cap,24.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",58.82
Prev Close,294.26
Shares Outstanding,84.9M
Short Interest,0.0246
Today's Open,296.28
Volume,538819.0
Volume 10-day Avg,566533.0
Volume Past Day,(Average)
