,IDXX
Price/Earnings (TTM),58.8173
Price/Sales (TTM),10.17113
Price/Book (MRQ),232.1007
Price/Cash Flow (TTM),47.44196
5yr Low,61.58
5yr High,296.25
5yr Avg Return,0.2961333333333334
EPS Growth 5yr,0.2221209
Revenue Growth 5yr,0.1012842
Dividend Growth 5yr,
Short Int Current Month,2065839.0
Short Int Prev Month,1514518.0
Short Int Pct of Float,0.0245596
Days to Cover,3.20648
Float,83.86811
Shares Outstanding,84.93297
Institutions Holding Shares,1042.0
% Held by Institutions,0.875112
FCF Growth 5yr,0.216959745476838
