,HII
% Above Low,0.2273
% Held by Institutions,0.878
52-Wk Range,['147.14 - 279.71']
Annual Dividend $,4.12
Annual Dividend %,0.023799999999999998
Ask,191.4
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,180.0
Bid Size,100.0
Closing Price,180.58
Day Change $,7.27
Day Change %,0.04190000000000001
Day High,184.42
Day Low,175.0
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",14.63
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.39
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,7.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.84
Prev Close,173.31
Shares Outstanding,40.7M
Short Interest,0.021099999999999997
Today's Open,175.0
Volume,554116.0
Volume 10-day Avg,410417.0
Volume Past Day,(Heavy Day)
