,HII
Price/Earnings (TTM),11.84421
Price/Sales (TTM),0.77713
Price/Book (MRQ),4.2721
Price/Cash Flow (TTM),8.41222
5yr Low,102.76
5yr High,279.71
5yr Avg Return,0.11333333333333334
EPS Growth 5yr,0.141039
Revenue Growth 5yr,0.050470499999999995
Dividend Growth 5yr,0.292711
Short Int Current Month,835061.0
Short Int Prev Month,818131.0
Short Int Pct of Float,0.0210844
Days to Cover,2.92783
Float,39.9558
Shares Outstanding,40.72388
Institutions Holding Shares,708.0
% Held by Institutions,0.8780159999999999
FCF Growth 5yr,-0.10841990980716099
