,HII
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.32352941176470584
Growth 1yr High Est,0.49039145907473314
Growth 1yr Consensus Est,0.4069604354197195
Growth 2yr Low Est,0.0062091503267973636
Growth 2yr High Est,0.11888245351062349
Growth 2yr Consensus Est,0.06254580191871043
Growth 5yr Low Est,0.07870765934753507
Growth 5yr High Est,0.12574102869466436
Growth 5yr Consensus Est,0.10222434402109971
Growth 5yr Actual/Est,0.10828587513760668
Growth 3yr Historic,0.07659493356277336
