,DLTR
Next Earnings Announcement,2020-05-28 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.09871244635193133
Growth 1yr High Est,0.08613445378151274
Growth 1yr Consensus Est,-0.006288996285209292
Growth 2yr Low Est,0.010167586347843871
Growth 2yr High Est,0.16202273946329027
Growth 2yr Consensus Est,0.08609516290556707
Growth 5yr Low Est,0.004564407970672479
Growth 5yr High Est,0.01669412758168423
Growth 5yr Consensus Est,0.010629267776178355
Growth 5yr Actual/Est,0.033962681692071034
Growth 3yr Historic,-0.0013015819081058921
