,DLTR
Price/Earnings (TTM),22.09915
Price/Sales (TTM),0.77055
Price/Book (MRQ),2.9025
Price/Cash Flow (TTM),12.35618
5yr Low,60.2
5yr High,119.71
5yr Avg Return,0.012116666666666678
EPS Growth 5yr,0.0369457
Revenue Growth 5yr,0.2237712
Dividend Growth 5yr,
Short Int Current Month,4354414.0
Short Int Prev Month,4447406.0
Short Int Pct of Float,0.018665400000000002
Days to Cover,1.55423
Float,233.7094
Shares Outstanding,237.2309
Institutions Holding Shares,951.0
% Held by Institutions,0.952758
FCF Growth 5yr,0.5474136174904873
