,KMX
% Below High,0.25670000000000004
% Held by Institutions,0.9981
52-Wk Range,['37.59 - 103.18']
Annual Dividend $,
Annual Dividend %,
Ask,77.35
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.7
Bid,76.69
Bid Size,400.0
Closing Price,76.69
Day Change $,3.82
Day Change %,0.0524
Day High,76.94
Day Low,73.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.32
Ex-dividend Date,No dividend
Historical Volatility,0.543
Last (size),61.0
Last (time),6:30p ET 05/08/20
Market Cap,12.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.69
Prev Close,72.87
Shares Outstanding,162.6M
Short Interest,0.1009
Today's Open,75.01
Volume,1578111.0
Volume 10-day Avg,2049075.0
Volume Past Day,(Light)
