,KMX
Next Earnings Announcement,2020-06-19 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-1.107843137254902
Growth 1yr High Est,-0.10857142857142865
Growth 1yr Consensus Est,-0.6082072829131653
Growth 2yr Low Est,-4.6902852049910875
Growth 2yr High Est,0.06537240537240535
Growth 2yr Consensus Est,-2.3124563998093413
Growth 5yr Low Est,-2.2564602200385315
Growth 5yr High Est,0.11160488333194293
Growth 5yr Consensus Est,-1.0724276683532943
Growth 5yr Actual/Est,0.2007066611590772
Growth 3yr Historic,0.10183236472380519
