,T
% Above Low,0.1423
% Held by Institutions,0.5394
52-Wk Range,['26.08 - 39.70']
Annual Dividend $,2.08
Annual Dividend %,0.07200000000000001
Ask,29.79
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,0.7
Bid,29.76
Bid Size,400.0
Closing Price,29.79
Day Change $,0.9
Day Change %,0.031200000000000002
Day High,29.85
Day Low,29.21
Dividend Pay Date,2020-05-01 00:00:00
"EPS (TTM, GAAP)",1.97
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.33799999999999997
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,212.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.11
Prev Close,28.89
Shares Outstanding,7.1B
Short Interest,0.0176
Today's Open,29.29
Volume,24047674.0
Volume 10-day Avg,33756640.0
Volume Past Day,(Light)
