,CXO
Price/Earnings (TTM),
Price/Sales (TTM),2.55088
Price/Book (MRQ),1.34259
Price/Cash Flow (TTM),
5yr Low,33.13
5yr High,163.11
5yr Avg Return,-0.07715
EPS Growth 5yr,
Revenue Growth 5yr,0.11537069999999999
Dividend Growth 5yr,
Short Int Current Month,8881330.0
Short Int Prev Month,7904922.0
Short Int Pct of Float,0.045665500000000005
Days to Cover,3.79799
Float,194.5899
Shares Outstanding,196.7016
Institutions Holding Shares,640.0
% Held by Institutions,0.954748
FCF Growth 5yr,0.10683612446043547
