,CBRE
Price/Earnings (TTM),10.57417
Price/Sales (TTM),0.55774
Price/Book (MRQ),2.23582
Price/Cash Flow (TTM),7.69647
5yr Low,22.74
5yr High,64.75
5yr Avg Return,0.05838333333333335
EPS Growth 5yr,0.21338249999999997
Revenue Growth 5yr,0.21430890000000002
Dividend Growth 5yr,
Short Int Current Month,7401147.0
Short Int Prev Month,4511819.0
Short Int Pct of Float,0.0222044
Days to Cover,2.7066
Float,334.4164
Shares Outstanding,336.1945
Institutions Holding Shares,877.0
% Held by Institutions,0.946399
FCF Growth 5yr,0.1602253254610902
