,PXD
Price/Earnings (TTM),21.43793
Price/Sales (TTM),1.57228
Price/Book (MRQ),1.21497
Price/Cash Flow (TTM),6.13312
5yr Low,48.62
5yr High,213.4
5yr Avg Return,-0.05086666666666665
EPS Growth 5yr,-0.08930310000000001
Revenue Growth 5yr,0.1746191
Dividend Growth 5yr,0.7187719
Short Int Current Month,5102404.0
Short Int Prev Month,5496553.0
Short Int Pct of Float,0.031270099999999995
Days to Cover,1.69581
Float,163.3248
Shares Outstanding,164.8631
Institutions Holding Shares,993.0
% Held by Institutions,0.90571
FCF Growth 5yr,-0.2684983658816355
