,CE
% Above Low,0.5696
% Held by Institutions,0.9721
52-Wk Range,['52.70 - 128.88']
Annual Dividend $,2.48
Annual Dividend %,0.030899999999999997
Ask,104.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,60.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,82.72
Day Change $,2.37
Day Change %,0.029500000000000002
Day High,83.38
Day Low,81.64
Dividend Pay Date,2020-05-07 00:00:00
"EPS (TTM, GAAP)",6.08
Ex-dividend,2020-04-24 00:00:00
Ex-dividend Date,04/24/20
Historical Volatility,0.494
Last (size),2100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,9.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.22
Prev Close,80.35
Shares Outstanding,118.2M
Short Interest,0.021099999999999997
Today's Open,82.0
Volume,591614.0
Volume 10-day Avg,990163.0
Volume Past Day,(Light)
