,CE
Price/Earnings (TTM),13.22388
Price/Sales (TTM),1.56502
Price/Book (MRQ),3.88059
Price/Cash Flow (TTM),8.55828
5yr Low,52.7
5yr High,128.88
5yr Avg Return,0.07223333333333336
EPS Growth 5yr,0.1124224
Revenue Growth 5yr,-0.015310299999999999
Dividend Growth 5yr,0.2087755
Short Int Current Month,2503313.0
Short Int Prev Month,2042018.0
Short Int Pct of Float,0.021090900000000003
Days to Cover,2.42989
Float,117.2827
Shares Outstanding,118.2289
Institutions Holding Shares,800.0
% Held by Institutions,0.9721150000000001
FCF Growth 5yr,0.37720675538323856
