,FLIR
Price/Earnings (TTM),52.11223
Price/Sales (TTM),3.31043
Price/Book (MRQ),3.66352
Price/Cash Flow (TTM),26.56016
5yr Low,23.85
5yr High,63.88
5yr Avg Return,0.08581666666666665
EPS Growth 5yr,-0.020778599999999998
Revenue Growth 5yr,0.0427499
Dividend Growth 5yr,0.11196160000000001
Short Int Current Month,1847894.0
Short Int Prev Month,1634242.0
Short Int Pct of Float,0.0138308
Days to Cover,1.35287
Float,129.0673
Shares Outstanding,130.8424
Institutions Holding Shares,659.0
% Held by Institutions,0.947742
FCF Growth 5yr,0.08716749812636408
