,FLIR
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.16593886462882101
Growth 1yr High Est,-0.04310344827586188
Growth 1yr Consensus Est,-0.10452115645234145
Growth 2yr Low Est,-0.05155581974896556
Growth 2yr High Est,0.07529512270891581
Growth 2yr Consensus Est,0.011869651479975124
Growth 5yr Low Est,0.03628731847514924
Growth 5yr High Est,0.0957002664659865
Growth 5yr Consensus Est,0.06599379247056787
Growth 5yr Actual/Est,0.05738717959900805
Growth 3yr Historic,0.04633889208357295
