,GOOG
% Below High,0.09380000000000001
% Held by Institutions,
52-Wk Range,"['1,013.54 - 1,532.11']"
Annual Dividend $,
Annual Dividend %,
Ask,1390.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,1388.47
Bid Size,100.0
Closing Price,1388.37
Day Change $,15.81
Day Change %,0.0115
Day High,1398.76
Day Low,1375.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.365
Last (size),2.0
Last (time),4:15p ET 05/08/20
Market Cap,947.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",--x
Prev Close,1372.56
Shares Outstanding,682.6M
Short Interest,
Today's Open,1383.13
Volume,1388068.0
Volume 10-day Avg,1989488.0
Volume Past Day,(Light)
