,JNPR
Price/Earnings (TTM),23.77842
Price/Sales (TTM),1.72476
Price/Book (MRQ),1.74294
Price/Cash Flow (TTM),13.72177
5yr Low,15.2
5yr High,32.39
5yr Avg Return,-0.020033333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0079801
Dividend Growth 5yr,0.3060407
Short Int Current Month,11570064.0
Short Int Prev Month,11608418.0
Short Int Pct of Float,0.0353587
Days to Cover,3.38014
Float,327.3257
Shares Outstanding,331.3524
Institutions Holding Shares,629.0
% Held by Institutions,0.9265019999999999
FCF Growth 5yr,-0.04642190456798836
