,JNPR
% Below High,0.1411
% Held by Institutions,0.9265000000000001
52-Wk Range,['15.20 - 27.57']
Annual Dividend $,0.8
Annual Dividend %,0.0346
Ask,23.74
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.9
Bid,23.68
Bid Size,300.0
Closing Price,23.68
Day Change $,0.56
Day Change %,0.0242
Day High,23.71
Day Low,23.22
Dividend Pay Date,2020-06-22 00:00:00
"EPS (TTM, GAAP)",0.97
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.34299999999999997
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,7.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.78
Prev Close,23.12
Shares Outstanding,331.4M
Short Interest,0.0354
Today's Open,23.28
Volume,4010406.0
Volume 10-day Avg,5245864.0
Volume Past Day,(Light)
