,CNP
Price/Earnings (TTM),
Price/Sales (TTM),0.81847
Price/Book (MRQ),1.71169
Price/Cash Flow (TTM),12.64346
5yr Low,11.58
5yr High,31.42
5yr Avg Return,0.006599999999999996
EPS Growth 5yr,-0.011593899999999999
Revenue Growth 5yr,0.059218099999999996
Dividend Growth 5yr,0.0389505
Short Int Current Month,23306908.0
Short Int Prev Month,21363639.0
Short Int Pct of Float,0.0464652
Days to Cover,2.42541
Float,501.5359
Shares Outstanding,502.6147
Institutions Holding Shares,815.0
% Held by Institutions,0.866317
FCF Growth 5yr,-11.583308211939649
