,CNP
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.2142857142857143
Growth 1yr High Est,0.19631901840490795
Growth 1yr Consensus Est,-0.008983347940403175
Growth 2yr Low Est,-0.1484651711924439
Growth 2yr High Est,0.07508258612553093
Growth 2yr Consensus Est,-0.03669129253345649
Growth 5yr Low Est,-0.028078739442375794
Growth 5yr High Est,0.08070676068866475
Growth 5yr Consensus Est,0.02631401062314448
Growth 5yr Actual/Est,0.013617600605262625
Growth 3yr Historic,0.07165830291970798
