,MYL
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.04379562043795626
Growth 1yr High Est,0.06590909090909092
Growth 1yr Consensus Est,0.011056735235567328
Growth 2yr Low Est,-0.06642707230549216
Growth 2yr High Est,0.04574772242682679
Growth 2yr Consensus Est,-0.010339674939332688
Growth 5yr Low Est,-0.04971755091460056
Growth 5yr High Est,0.009933440573662272
Growth 5yr Consensus Est,-0.019892055170469145
Growth 5yr Actual/Est,0.0015159484491629738
Growth 3yr Historic,-0.007637133226078285
