,MYL
Price/Earnings (TTM),545.6837
Price/Sales (TTM),0.77853
Price/Book (MRQ),0.75226
Price/Cash Flow (TTM),4.39737
5yr Low,12.75
5yr High,74.66
5yr Avg Return,-0.19208333333333333
EPS Growth 5yr,-0.5799307
Revenue Growth 5yr,0.0829898
Dividend Growth 5yr,
Short Int Current Month,22035145.0
Short Int Prev Month,21094633.0
Short Int Pct of Float,0.0432878
Days to Cover,3.37831
Float,509.8362
Shares Outstanding,516.9445
Institutions Holding Shares,711.0
% Held by Institutions,0.853389
FCF Growth 5yr,0.04841364272187487
