,FOXA
Price/Earnings (TTM),11.78761
Price/Sales (TTM),1.23082
Price/Book (MRQ),1.50721
Price/Cash Flow (TTM),9.50165
5yr Low,19.81
5yr High,41.95
5yr Avg Return,-0.16475
Short Int Current Month,17298319.0
Short Int Prev Month,16304439.0
Short Int Pct of Float,0.051077399999999995
Days to Cover,4.43948
Float,500.0032
Shares Outstanding,606.8331
Institutions Holding Shares,710.0
% Held by Institutions,1.035048
FCF Growth 5yr,-0.17733013762722186
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
