,FOXA
% Above Low,0.3125
% Held by Institutions,1.035
52-Wk Range,['19.81 - 39.74']
Annual Dividend $,0.46
Annual Dividend %,0.0182
Ask,26.42
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,24.01
Bid Size,100.0
Closing Price,26.0
Day Change $,0.75
Day Change %,0.0297
Day High,26.3
Day Low,25.63
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",2.14
Ex-dividend,2020-03-03 00:00:00
Ex-dividend Date,03/03/20
Historical Volatility,0.42
Last (size),228.0
Last (time),3:59p ET 05/08/20
Market Cap,15.8B
"P/E Ratio (TTM, GAAP)",11.79
Prev Close,25.25
Shares Outstanding,606.8M
Short Interest,0.051100000000000007
Today's Open,25.97
Volume,6613743.0
Volume 10-day Avg,5245766.0
Volume Past Day,(Heavy Day)
