,FOXA
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.25
Growth 2yr High Est,0.18113207547169807
Growth 2yr Consensus Est,-0.034433962264150964
Growth 5yr Low Est,-0.25
Growth 5yr High Est,0.18113207547169807
Growth 5yr Consensus Est,-0.034433962264150964
Growth 5yr Actual/Est,-0.06599789661030658
Growth 3yr Historic,0.0
