,BR
Price/Earnings (TTM),32.58214
Price/Sales (TTM),3.07728
Price/Book (MRQ),11.90333
Price/Cash Flow (TTM),22.00807
5yr Low,48.56
5yr High,138.24
5yr Avg Return,0.1617
EPS Growth 5yr,0.13909090000000002
Revenue Growth 5yr,0.1126562
Dividend Growth 5yr,0.1822368
Short Int Current Month,1533382.0
Short Int Prev Month,1451908.0
Short Int Pct of Float,0.013455600000000002
Days to Cover,1.86536
Float,114.0439
Shares Outstanding,114.8026
Institutions Holding Shares,975.0
% Held by Institutions,0.851862
FCF Growth 5yr,0.12282556463896296
