,BR
% Below High,0.14730000000000001
% Held by Institutions,0.8519
52-Wk Range,['81.90 - 136.99']
Annual Dividend $,2.16
Annual Dividend %,0.018500000000000003
Ask,119.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,112.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,116.81
Day Change $,0.12
Day Change %,0.001
Day High,119.19
Day Low,115.62
Dividend Pay Date,2020-07-02 00:00:00
"EPS (TTM, GAAP)",3.58
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.35100000000000003
Last (size),255.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,13.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.58
Prev Close,116.69
Shares Outstanding,114.8M
Short Interest,0.013500000000000002
Today's Open,119.0
Volume,888168.0
Volume 10-day Avg,645327.0
Volume Past Day,(Heavy Day)
