,HUM
Price/Earnings (TTM),19.07135
Price/Sales (TTM),0.72515
Price/Book (MRQ),3.97442
Price/Cash Flow (TTM),15.44636
5yr Low,150.0
5yr High,392.58
5yr Avg Return,0.15121666666666667
EPS Growth 5yr,0.22249960000000002
Revenue Growth 5yr,0.0599479
Dividend Growth 5yr,0.1434289
Short Int Current Month,2007803.0
Short Int Prev Month,1833596.0
Short Int Pct of Float,0.015229999999999999
Days to Cover,1.44767
Float,131.8775
Shares Outstanding,132.2061
Institutions Holding Shares,1095.0
% Held by Institutions,0.935221
FCF Growth 5yr,1.188437226952847
