,HUM
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.01925254813137034
Growth 1yr High Est,0.11903425042111171
Growth 1yr Consensus Est,0.06914339927624102
Growth 2yr Low Est,0.07934849628790741
Growth 2yr High Est,0.13277352260142394
Growth 2yr Consensus Est,0.10606100944466568
Growth 5yr Low Est,0.15661629795238285
Growth 5yr High Est,0.18196469951477184
Growth 5yr Consensus Est,0.16929049873357735
Growth 5yr Actual/Est,0.17399442423580125
Growth 3yr Historic,0.11767661205360941
