,HUM
% Below High,0.0384
% Held by Institutions,0.9351999999999999
52-Wk Range,['208.25 - 392.58']
Annual Dividend $,2.5
Annual Dividend %,0.0067
Ask,379.88
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,365.0
Bid Size,100.0
Closing Price,377.5
Day Change $,6.08
Day Change %,0.016399999999999998
Day High,379.87
Day Low,374.25
Dividend Pay Date,2020-07-31 00:00:00
"EPS (TTM, GAAP)",19.48
Ex-dividend,2020-06-29 00:00:00
Ex-dividend Date,06/29/20
Historical Volatility,0.507
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,49.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.07
Prev Close,371.42
Shares Outstanding,132.2M
Short Interest,0.0152
Today's Open,377.09
Volume,926631.0
Volume 10-day Avg,1041305.0
Volume Past Day,(Below Average)
