,GILD
% Below High,0.0986
% Held by Institutions,0.7903
52-Wk Range,['60.89 - 85.97']
Annual Dividend $,2.72
Annual Dividend %,0.035
Ask,77.42
Ask Size,1800.0
B/A Ratio,2.7222222222222223
B/A Size,4900x1800
Beta,0.7
Bid,77.41
Bid Size,4900.0
Closing Price,77.49
Day Change $,-0.12
Day Change %,-0.0015
Day High,78.44
Day Low,76.87
Dividend Pay Date,2020-06-29 00:00:00
"EPS (TTM, GAAP)",3.89
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.358
Last (size),1.0
Last (time),4:15p ET 05/08/20
Market Cap,97.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.95
Prev Close,77.61
Shares Outstanding,1.3B
Short Interest,0.018000000000000002
Today's Open,77.76
Volume,10554683.0
Volume 10-day Avg,24693148.0
Volume Past Day,(Light)
