,BAX
Price/Earnings (TTM),57.87541
Price/Sales (TTM),3.90434
Price/Book (MRQ),5.83997
Price/Cash Flow (TTM),28.19641
5yr Low,32.18
5yr High,95.19
5yr Avg Return,0.08044999999999998
EPS Growth 5yr,0.1322827
Revenue Growth 5yr,0.0117195
Dividend Growth 5yr,-0.1614422
Short Int Current Month,6516977.0
Short Int Prev Month,6452196.0
Short Int Pct of Float,0.0128688
Days to Cover,2.30752
Float,508.1732
Shares Outstanding,508.8362
Institutions Holding Shares,1487.0
% Held by Institutions,0.8518399999999999
FCF Growth 5yr,0.10703077511999241
