,BAX
% Below High,0.0747
% Held by Institutions,0.8518000000000001
52-Wk Range,['69.10 - 95.19']
Annual Dividend $,0.98
Annual Dividend %,0.0111
Ask,89.19
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,87.79
Bid Size,100.0
Change Since Close,-0.36| |(-0.41%)
Closing Price,88.08
Day Change $,-0.36
Day Change %,-0.0040999999999999995
Day High,89.66
Day Low,87.83
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",1.53
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.364
Last (size),5.0
Last (time),6:30p ET 05/08/20
Last Trade,87.72
Market Cap,44.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",57.88
Prev Close,88.44
Shares Outstanding,508.8M
Short Interest,0.0129
Today's Open,89.49
Volume,1321688.0
Volume 10-day Avg,2365336.0
Volume Past Day,(Light)
