,REG
% Above Low,0.3195
% Held by Institutions,1.0367
52-Wk Range,['31.80 - 70.26']
Annual Dividend $,2.38
Annual Dividend %,0.0608
Ask,42.02
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,38.5
Bid Size,100.0
Closing Price,41.96
Day Change $,2.84
Day Change %,0.0726
Day High,43.11
Day Low,39.72
Dividend Pay Date,2020-03-05 00:00:00
"EPS (TTM, GAAP)",0.89
Ex-dividend,2020-02-21 00:00:00
Ex-dividend Date,02/21/20
Historical Volatility,0.515
Last (size),3.0
Last (time),3:59p ET 05/08/20
Market Cap,7.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",47.27
Prev Close,39.12
Shares Outstanding,169.6M
Short Interest,0.0347
Today's Open,40.96
Volume,1482489.0
Volume 10-day Avg,1583608.0
Volume Past Day,(Average)
