,REG
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.9703703703703703
Growth 1yr High Est,-0.005813953488372103
Growth 1yr Consensus Est,-0.4880921619293712
Growth 2yr Low Est,10.514814814814814
Growth 2yr High Est,0.06142050863593085
Growth 2yr Consensus Est,5.288117661725373
Growth 5yr Low Est,7.009876543209876
Growth 5yr High Est,0.040947005757287235
Growth 5yr Consensus Est,3.525411774483582
Growth 5yr Actual/Est,0.11750994691808242
Growth 3yr Historic,0.10986301369863014
