,REG
Price/Earnings (TTM),47.27408
Price/Sales (TTM),8.30975
Price/Book (MRQ),
Price/Cash Flow (TTM),16.40968
5yr Low,31.8
5yr High,85.35
5yr Avg Return,-0.057483333333333324
EPS Growth 5yr,-0.0445179
Revenue Growth 5yr,0.1606909
Dividend Growth 5yr,0.0447481
Short Int Current Month,5758577.0
Short Int Prev Month,5562507.0
Short Int Pct of Float,0.034734799999999996
Days to Cover,3.00686
Float,165.9633
Shares Outstanding,167.7159
Institutions Holding Shares,588.0
% Held by Institutions,1.0366849999999999
FCF Growth 5yr,-6.0068885281385285
