,C
Price/Earnings (TTM),6.08505
Price/Sales (TTM),1.21573
Price/Book (MRQ),0.53302
Price/Cash Flow (TTM),4.6394
5yr Low,32.0
5yr High,83.11
5yr Avg Return,0.03415000000000001
EPS Growth 5yr,0.2954813
Revenue Growth 5yr,0.0440241
Dividend Growth 5yr,1.168943
Short Int Current Month,25379406.0
Short Int Prev Month,24018838.0
Short Int Pct of Float,0.0121299
Days to Cover,0.86213
Float,2076.526
Shares Outstanding,2081.808
Institutions Holding Shares,2173.0
% Held by Institutions,0.7922889999999999
FCF Growth 5yr,-1.224945312259244
