,C
% Above Low,0.4475
% Held by Institutions,0.7923
52-Wk Range,['32.00 - 83.11']
Annual Dividend $,2.04
Annual Dividend %,0.045700000000000005
Ask,46.48
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,46.32
Bid Size,200.0
Change Since Close,0.14| |(0.30%)
Closing Price,46.32
Day Change $,1.68
Day Change %,0.037599999999999995
Day High,46.42
Day Low,45.26
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",7.34
Ex-dividend,2020-05-01 00:00:00
Ex-dividend Date,05/01/20
Historical Volatility,0.584
Last (size),200.0
Last (time),6:30p ET 05/08/20
Last Trade,46.46
Market Cap,96.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.09
Prev Close,44.64
Shares Outstanding,2.1B
Short Interest,0.0121
Today's Open,45.32
Volume,22919094.0
Volume 10-day Avg,27938179.0
Volume Past Day,(Below Average)
