,WELL
% Above Low,0.8356
% Held by Institutions,0.8822
52-Wk Range,['24.27 - 93.17']
Annual Dividend $,2.44
Annual Dividend %,0.0581
Ask,45.36
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,42.38
Bid Size,200.0
Closing Price,44.55
Day Change $,2.55
Day Change %,0.060700000000000004
Day High,44.78
Day Low,40.75
Dividend Pay Date,2020-05-28 00:00:00
"EPS (TTM, GAAP)",1.03
Ex-dividend,2020-05-18 00:00:00
Ex-dividend Date,05/18/20
Historical Volatility,0.643
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,18.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",43.4
Prev Close,42.0
Shares Outstanding,417.5M
Short Interest,0.0296
Today's Open,42.16
Volume,6798947.0
Volume 10-day Avg,4556224.0
Volume Past Day,(Heavy Day)
