,WELL
Price/Earnings (TTM),43.40202
Price/Sales (TTM),3.64133
Price/Book (MRQ),1.15261
Price/Cash Flow (TTM),12.12406
5yr Low,24.27
5yr High,93.17
5yr Avg Return,-0.049850000000000005
EPS Growth 5yr,0.0476556
Revenue Growth 5yr,0.0890171
Dividend Growth 5yr,0.0181937
Short Int Current Month,11966880.0
Short Int Prev Month,11200672.0
Short Int Pct of Float,0.0295641
Days to Cover,2.67947
Float,409.8727
Shares Outstanding,417.4793
Institutions Holding Shares,1087.0
% Held by Institutions,0.8821840000000001
FCF Growth 5yr,
