,EVRG
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.007092198581560294
Growth 1yr High Est,0.040000000000000036
Growth 1yr Consensus Est,0.01645390070921987
Growth 2yr Low Est,0.03752532928064839
Growth 2yr High Est,0.04403846153846158
Growth 2yr Consensus Est,0.040781895409554986
Growth 5yr Low Est,0.06561140413612251
Growth 5yr High Est,0.06250279144213666
Growth 5yr Consensus Est,0.06405709778912959
Growth 5yr Actual/Est,0.08078655017918385
Growth 3yr Historic,0.05383050847457632
