,EVRG
% Above Low,0.36869999999999997
% Held by Institutions,0.8234999999999999
52-Wk Range,['42.01 - 76.57']
Annual Dividend $,2.02
Annual Dividend %,0.0362
Ask,80.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,39.0
Bid Size,100.0
Closing Price,57.5
Day Change $,1.63
Day Change %,0.0292
Day High,57.51
Day Low,55.86
Dividend Pay Date,2020-06-19 00:00:00
"EPS (TTM, GAAP)",2.72
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.452
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,13.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.54
Prev Close,55.87
Shares Outstanding,226.7M
Short Interest,0.0182
Today's Open,56.91
Volume,3917804.0
Volume 10-day Avg,2253647.0
Volume Past Day,(Heavy Day)
