,EVRG
Price/Earnings (TTM),20.54142
Price/Sales (TTM),2.50971
Price/Book (MRQ),1.48524
Price/Cash Flow (TTM),8.10803
5yr Low,33.88
5yr High,76.57
5yr Avg Return,0.09303333333333333
EPS Growth 5yr,0.0304648
Revenue Growth 5yr,0.1462327
Dividend Growth 5yr,0.0177494
Short Int Current Month,4110451.0
Short Int Prev Month,4383704.0
Short Int Pct of Float,0.0181866
Days to Cover,2.14753
Float,226.0701
Shares Outstanding,226.7405
Institutions Holding Shares,802.0
% Held by Institutions,0.823451
FCF Growth 5yr,-3.3892613121778425
