,VNO
Next Earnings Announcement,2020-08-03 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.9815864022662889
Growth 1yr High Est,-0.9308868501529052
Growth 1yr Consensus Est,-0.956236626209597
Growth 2yr Low Est,-0.20233166267160602
Growth 2yr High Est,-0.29730183215609857
Growth 2yr Consensus Est,-0.2498167474138523
Growth 5yr Low Est,3.1096184823896866
Growth 5yr High Est,3.1250559804736753
Growth 5yr Consensus Est,3.1173372314316814
Growth 5yr Actual/Est,2.8326930679007507
Growth 3yr Historic,2.993325834270716
