,DIS
Price/Earnings (TTM),39.68931
Price/Sales (TTM),2.43809
Price/Book (MRQ),2.07971
Price/Cash Flow (TTM),18.20233
5yr Low,79.07
5yr High,153.41
5yr Avg Return,0.013566666666666663
EPS Growth 5yr,0.0793432
Revenue Growth 5yr,0.0734388
Dividend Growth 5yr,
Short Int Current Month,25242797.0
Short Int Prev Month,25260198.0
Short Int Pct of Float,0.014010400000000001
Days to Cover,1.39015
Float,1802.557
Shares Outstanding,1806.267
Institutions Holding Shares,3495.0
% Held by Institutions,0.633942
FCF Growth 5yr,-0.09588957561478288
