,DIS
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.9250457038391224
Growth 1yr High Est,-0.4543918918918919
Growth 1yr Consensus Est,-0.6897187978655072
Growth 2yr Low Est,1.110647879787756
Growth 2yr High Est,0.07001767634507583
Growth 2yr Consensus Est,0.5903327780664158
Growth 5yr Low Est,0.5530416292025261
Growth 5yr High Est,0.04868438676187961
Growth 5yr Consensus Est,0.3008630079822029
Growth 5yr Actual/Est,0.12496059235839452
Growth 3yr Historic,0.01426925364258097
