,AEP
% Above Low,0.2261
% Held by Institutions,0.7340000000000001
52-Wk Range,['65.14 - 104.97']
Annual Dividend $,2.8
Annual Dividend %,0.0356
Ask,80.6
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,79.82
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,79.86
Day Change $,1.26
Day Change %,0.016
Day High,80.42
Day Low,79.0
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",3.72
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.355
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,39.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.11
Prev Close,78.6
Shares Outstanding,495.6M
Short Interest,0.0141
Today's Open,79.16
Volume,2409219.0
Volume 10-day Avg,3063360.0
Volume Past Day,(Light)
