,AEP
Price/Earnings (TTM),21.10883
Price/Sales (TTM),2.55393
Price/Book (MRQ),1.96765
Price/Cash Flow (TTM),8.83946
5yr Low,52.29
5yr High,104.97
5yr Avg Return,0.07285
EPS Growth 5yr,0.036339800000000005
Revenue Growth 5yr,-0.010184200000000001
Dividend Growth 5yr,0.0594846
Short Int Current Month,6983837.0
Short Int Prev Month,6225320.0
Short Int Pct of Float,0.0141166
Days to Cover,2.22962
Float,494.7698
Shares Outstanding,495.5831
Institutions Holding Shares,1452.0
% Held by Institutions,0.7339619999999999
FCF Growth 5yr,0.10386326827106027
